"patutlah","pantasan"
"giwang","kerabu"
"ongkos","biaye"
"ambil","ambe'"
"aksi","lawa"
"mencari sesuatu diantara","ngareh"
"menyimak","nyema'"
"mules","mulas"
"minum obat","minum obat"
"dinas","dinas"
"cuci","cuci"
"sore hari","buah ari"
"pelit","kuwit"
"kurang sinkron","besingka'"
"mencicipi","jamah"
"mencuci","nyuci"
"yang ini berapa duit","yang itok berape hargenye"
"astaga","yak bayak"
"jari manis","jari manis"
"suara kibasan ikan","nglebok"
"tempat berbentuk segi empat di rumah tempat menyimpan","tamping"
"basi","basi"
"jempol","indok jari"
"ibu","ibuk"
"kasian","kasian"
"apakah aku bisa","apeke aku bise"
"kejang","kajjang"
"kondisi badan yg sudah lelah sehingga sampai menimbulkan bunyi","rakkok"
"jongkok","njerungkong"
"malas","cullas"
"kelewatan","kelimpasan"
"tubuh","badan"
"lempar","lontar"
"mendengar","nangar"
"saya tidur","aku tidok"
"kapas","kapas"
"terus-menerus","nda' besalle"
"jijik","getti'"
"muka memerah","berama'"
"kampungan","sappok"
"dikupas","kuttis"
"siapa itu","sape ye"
"giat","gogon"
"sedih","pilo'"
"sangat basah","lallam"
"gugur","guggor"
"seperti telur","nallo'"
"suara rendah","garrau"
"ayam kate","danna'"
"memikul","ambing"
"ibu jari","indok jari"
"tak bergigi","ronga'"
"kurang waras","babang"
"campur","campor"
"mengolah","ngalleh"
"mandilah","mandek lah"
"selesai","taem"
"disana","sinun"
"mengira","ngire"
"kapak","beliong"
"menelan","nallan"
"pimpinan","pimpinan"
"panjang","jenjeng"
"kuku yang rusak atau membusuk","mahat"
"membuat sesuatu menjadi semakin rumit","larat"
"menjemur","ngasai"
"berasa","rase"
"nagasari","ukal pisang"
"agama","agame"
"menari","nari"
"garam","garam"
"tidak bekerja, menganggur","nogo'"
"anak ke 4","unning"
"megang","migang"
"jangan takut","usah takut"
"bentuk","bantok"
"nenen","nyusu"
"ditutup","kumbo'"
"seluruh","seluroh"
"mulai","mule"
"kembang selasih","kambang selaseh"
"tidak mau","besumpik"
"keris","karris"
"yunika","yunika"
"kepala pusing","paning kepalak"
"tidur secara tiba tiba","ketidok'an"
"ruang tamu","serambek"
"rumah kosong","timbawang"
"tidak padat","geronggang"
"menyesal","nyassal"
"sekarang pak","itok pak"
"terbangun dari tidur","meladde"
"hijau","ijjau"
"kepala","kepalak"
"lutung","luttong"
"bujur","bujjor"
"hadir","hader"
"bokor","batel"
"kalajengking","kale"
"petir","guroh"
"kulum","ngullum"
"gagah","gagah"
"alu","alok"
"chating","chating"
"terjatuh dalam lubang","teperosok"
"hiu","iyok"
"banci","bences"
"meracau","ngerepe'"
"sangat banyak","betasik"
"semoga","semoge"
"dedek","adek"
"berlubang","passok"
"kenang","kannang"
"ini","itok"
"pesek","picak"
"rumah kosong","tembawang"
"berhias","bepesen"
"selokan","parit"
"gayung","gayong"
"Sakit-sakitan","dade'an"
"kegiatan yg bisa dilakukan apabila mencari barang yg mungkin terjatuh di bawah meja atau di bagian bawah lain nya.","nyurok"
"puluh","puloh"
"memagari","ampang"
"talam","redang"
"do","do"
