"nggak","daan"
"susunan","lapis"
"sembunyi","tappor"
"asam","asam"
"tenggelam","karam"
"pejamkan","pajamkan"
"gerombolan anak kecil","kak-kericik"
"benar benar","inyan inyan"
"sentuh","japai"
"akibat terkena sulutan api","batto'"
"jubah","jobah"
"ikut","ngimbai"
"saya tidak","aku indak"
"suatu","suatu"
"lampu senter","cuar"
"tidak bisa diam","ngelatap"
"sakti","sakti"
"rusak (pada kain)","rattas"
"sagal","tidak tega"
"menggali","ngalek"
"lengkung","langkong"
"jambu","jambu"
"membuka dengan menekankan kedua belah tangan","cakkah"
"senyap","sanynyap"
"bahwa","bahwe"
"abangla","abangla"
"besok jangan sampai tidak datang bisa marah kakek nya","isok usah sampai daan datang bise-bise marah aki nye"
"tidur nyenyak","berindu"
"terjatuh","serampah"
"meninggal","meninggal"
"selesi","lakak"
"menjerit-jerit","kejarrik-kejarrik"
"belut","insirat"
"tidak tahu","an tau"
"talas","keladi"
"suap","sogok"
"berkelahi","gocoh"
"dagang","dagang"
"ajari","ajarek"
"mama","umak"
"inang","innang"
"menahan supaya tidak bergerak","raggang"
"mana","mane"
"batuk","batok"
"berkelahi","becakkak"
"menghalangi","alang"
"menjala","nyali"
"bongkar","bongkar"
"kayuh","kayoh"
"nada","nade"
"tegap","hega'"
"pikul","ambing"
"jasa","jase"
"tahu","tahu"
"saku","kocekkan"
"bertanya","bentanyak"
"larut malam","dallu"
"Habis-habisan","age'-age'"
"aman","aman"
"bambu","abe'"
"tidak terasa","daan keladdaan"
"tabrakan","belanggar"
"sifat kegila-gilaan","bodo bale"
"misalkan","misalnye"
"kaca","cerammin"
"mencibir","ncabbi'"
"mata melotot","ticinnat"
"yarabana","yarabana"
"kulit kayu untuk dempul","gallam"
"menjeput","japput"
"nyiru","nyirro'"
"mengigau","meransau"
"ngomongin","ngomongkan"
"melaju","melaju"
"penampan","baki"
"manja","bongka'"
"sup","sop"
"melakukan","ngerajekan"
"tempat tidur dari bambu","balai-balai"
"buah enau","bilullok"
"gusi","gussi'"
"i","i"
"almahrum","jannat"
"bau kain yang lama tidak dicuci","bangngam"
"mengeringkan pakaian dipanas matahari","assai"
"gerak","garrak"
"ampas","keradak"
"kejut","kajjut"
"asap","asap"
"menawarkan","nawarek"
"mengelap","ncallap"
"ikat kencang","kimput"
"jari","jari"
"bekam","bakkam"
"sebentar","bantar i"
"tiarap","ningkap"
"tidak bisa","daan bise"
"gigi yang menonjol ke depan.","jonga'"
"lempar","campak"
"memotong","ngarat"
"belok kiri","melok kere'"
"terjun","terajjun"
"terjatuh","tesungkor"
"agak","rase nak"
"aral","aral"
"terbaring","gole'"
"ke sana","kesinun"
"apapun yang ada dimakan","ngelarau"
"lomba","lumba'"
"buah","butte'"
"taruhan","betaroh"
"muntah","muntah"
"kasar","kasar"
"coretan","conteng"
"meninggal dunia","mampus"
"belagak","kerewak"
"katakan","padahkan"
"usir (binatang)","burru"
"tidak nyaman","daan nyaman"
"benih","baneh"
"banyak sekali","betatam"
"mencarinya","nyarek'eng"
"marah","ngerepek"
"membuat atau membangun sesuatu tapi gagal atau tidak jadi.","kaba'"
"beda","laing"
"alam","alam"
"terhampar","belampar"
"luka bakar","batto'"
"anak ke 3","udde"
"nyerah","nyarrah"
"dalih","daleh"
"terlalu masak","muddoh"
"gagah","hega'"
"sendok","suddok"
"jual","jual"
"hasta","haste"
"menancapkan sesuatu melalui lemparan","lancang"
"mengibaskan kaki karena kesakitan","kater-kater"
"jasmani","jasmani"
"sepi","sappi"
"begini","gitto'"
"jaman","jaman"
"memeras","marrah"
"hiu","iyo'"
"gula","gulle"
"kunang-kunang","kalimpapat"
"jauh sama","jaoh dengan"
"sesudah","ba'de"
"ginsul","tukkak"
"berdiam diri","mattak"
"beruk","barrok"
"mata bengkak","bangkup"
"mencari pasangan","ngurat"
"jentik","jantek"
"hisak tangis","issak"
"lima","lima'"
"marmut","marmut"
"angpau","ampau"
"kunang-kunang","impapat"
"ceremai","cerammai"
"kebun","kabon"
"promosikan","tampahkan"
"menggeleng","nggelek"
"anak yang orang tuanya beda ras","tongpan"
"kami, lita","kamek, lita"
"sagu","sagok"
"memek","pepek"
"mengalah","ngalah"
"awan","rammang"
"cakar","cakar"
"hisap","isap"
"dong","lah"
"berminyak","beminyak"
"tolong","tulong"
"saling berharap orang lain melakukannya padahal tidak ada yang melakukan","ngasi"
"andaikata","andaikate"
"kaku","janggal"
"sadar","mladde"
"tidak terasa","da'an kelada'an"
"mandul","mandol"
"melotot","tecinat"
"doa","doa"
"bodoh","bahlol"
"mengukur isi","nakar"
"mengapa begitu","tang gaye"
"sejenis rempah","jintan"
"garuda","gorde"
"terjadi pelawanan ketat","belawan"
"perpisahan","perpisahan"
"jemput","jamput"
"keruh","kabut"
"keras kepala","karras baddal"
"payah","payah"
"cemara","cemare"
"libur sekolah","libur sekolah"
"ngomel","ngeracau"
"berlari","becaccak"
"paling bungsu","ussu"
"layu","layo'"
"keluar","keluar"
"begaruk","bekisai"
"ngeracau","ngerape'"
"muncul","nongol"
"alat penggulung benang","gelendong"
"gula","gule"
"beda","bede"
"paham","ma'lom"
"gurau","pongah"
"gergaji","gergaji"
"gudang","godang"
"google","google"
"seram","ngeranjang"
"garing","karrip"
"bangkai","bangkai"
"keterlaluan","gilla'"
"santet","santet"
"menyumpan","naroh"
"ketupat","ketupat"
"berjejal","jajjal"
"orang","urrang"
"kamu itu","kau ye"
"silahkan","silekan"
"makanan khas sambas","bubbor paddas"
"orang tua menantu","besan"
"seharusnya","seharusnye"
"tidak tersisa","lingkis"
"miring","berot"
"jalan-jalan","bejolon"
"tilam","bolsak"
"jika 2 orang atau lebih sedang berjalan, ada yang berjalan lebih cepat meninggalkan yang lain","nojon"
"kebenaran","kebanarran"
"karung bocor","babbas"
"berliur karena menahan keinginan untuk melahap makanan enak","maccor"
"kangennya","salok'ong"
"terlampau matang","labbas"
"bersimpuhan","betampor"
"menyulam","nyullam"
"sekitar","sekitar"
"lama","lama'"
"gundul","botak"
"aduk","kacau"
"mengambing sesuati dari tempatnya","kaot"
"lamar","lamar"
"harap","arap"
"elang","penaol"
"setiap","setiap"
"cerita bersejarah","hikayat"
"nafsu birahi","birrah"
"sombong","bangnga'"
"layar","layar"
"lusa","lusa'"
"jawa","jawe"
"lilin","lilling"
"anak hits sambas","wawan"
"tak kusangka ,kamu punya hati busuk","daan nyangka, atimu jahat"
"menyongol","teconet"
"kentut dan ampas keluar bersamaan tanpa konfirmasi ke otak","tekincik"
"libur","libur"
"sangat aktif","gagit"
"waras","maddas"
"teratur","calle'"
"ngentot","ngentot"
"terasa panas","lissoh"
"tarian tradisional","jappen"
"apa kabar","ape kabar"
"sakit perut","kincik"
"basuh","basok"
"permainan anak-anak","lem lem ta'"
"teriak-teriak","ka' keraok"
