"nggak","daan"
"balik pintu","belakang lawang"
"tidak tersisa","langis"
"jernih","jarneh"
"kontraksi","jimut-jimut"
"selesai","taem"
"berikan","barre'kkan"
"api","api"
"kayu","kayu"
"panggilan untuk orang yang biasanya memiliki kulit putih","utteh"
"berbohong","ngambol"
"teater tradisional","ma' iyong"
"mandilah","mandek lah"
"selembar","selamper"
"tanggung","kalah-kalah"
"penutup kepala dari bambu","capel"
"sampai hatimu","sampai atimu"
"tuli","bangal"
"bukan begitu","bukan gaiye"
"saja","aja'"
"tidak","da'an"
"keluarga","insanak"
"benang wana kuning emas untuk membuat kain khas sambas","bannang ammas"
"gelitik","gelitik"
"dataran rendah","arong"
"tidak sama sekali","nkaper"
"seperti itu","geye"
"kera","karra'k"
"kata seru untuk menyatakan ketidak pedulian","alah"
"jalan","lorong"
"kepingin juga ya kalian","carat ke biak tok"
"panas","berawu"
"atur","ator"
"cubit","kubik"
"kopiah","songkok"
"kain","kaing"
"pesek","picak"
"mempermainkan","ngakal"
"melompat","melantong"
"kesabaran aku","kesabaran ku"
"sambung","sambong"
"melotot","ticalek"
"aku","aku"
"jangka waktu","jangka'"
"tidak adil","daan adel"
"batu","batu"
"jalan jalan","pelaser"
"buat","buat"
"kurungan","raban"
"membuat lobang atau rekahan menjadi lebih lebar","misak"
"terdiam","tehalle"
"motif kain tenun sambas","cual"
"tv","tv"
"sangat kenyang","buntas"
"okra","mia"
"ungu","keribang"
"tali","tali"
"biarin","biarkan"
"gemuk","gammok"
"gedung","gaddong"
"kantong dari kain untuk menyimpan uang atau emas pada jaman dulu","ponjen"
"terlena","lene"
"mengikat","ngarut"
"nyemplung","tecalum"
"kentut","kantut"
"unta","unte"
"gangguan","gangguan"
"telinga bedesing akibat suara yang memekakkan","panne"
"sejenis rumput yang selalu menempel di celana orang yang melaluinya","buttoh kijang"
"penis","butoh"
"mundur","mundorr"
"penutup","tuddong"
"bantal","bantal"
"kunyah","ampa'"
"ini ya","itok i"
"berani","perani"
"kondangan","saro'an"
"kamu belum tidur","kau balom tidok"
"lusa","lussa'"
"menempa","nampa'"
"menyakitkan hati","nyakitte' ati"
"kecut","kaccut"
"lesung","lassong"
"koreng besar","balu"
"kacuo","kacup"
"kepingin juga ternyata","carat ke saang"
"jajah","jajah"
"ikan","ikan"
"mewujudkan","mewujudkan"
"tak terasa","da'an kelada'an"
"asbak","asbak"
"goni","gunni"
"neraka","nerake"
"kencan","begila'an"
"nyata","nyate"
"benjol","bincut"
"keranjingan","ketagehan"
"ngeri","rabban"
"gasing","gasing"
"daging salai","dendeng"
"anak-anak","biak-biak"
"titik","titik"
"hafal","apal"
"lain kali","dudi dudi"
"impian","impian"
"gini","giye be"
"tak jadi","daan jadi"
"terus-menerus","tentolen"
"sinilah","sitok lah"
"cantik","cantek"
"pertama","pertame"
"pojok antara pintu dengan dinding","lintok"
"tante","ma' tua'"
"begini","gito'"
"terperosok dalam lumpur","teporok"
"satu","siggek"
"cina","cinne"
"bambu","abek"
"pipi gemuk","kemol"
"kontribusi","kuntribusi"
"memalukan","nyupanek"
"calo","catut"
"lakban","solasi"
"liburan","pelasser"
"sebelah","sibalah"
"berkerumun","kerummun"
"lemas","lemmas"
"empedal","baddal"
"saudara","dek beradek"
"apung","apong"
"berbunga","bebunge"
"menanduk","nandok"
"pusar","pussat"
"terjatuh","tebuang"
"pikir","piker"
"uang yang diberikan pengantin pria kepada keluarga pengantin wanita untuk keperluan upacara pernikahan","uang asap"
"memukul tanpa jurus","belabau"
"bangun","lumpat"
"buah nangka yang masih kecil","temabal"
"kepanasan","lusoh"
"mata seperti keluar","tibajjul"
"bodoh","babbang"
"tamak","kamok"
"cemberut","tebajjuk"
"jelek","jahat"
"menurut","nurrut"
"hai","hai"
"menarik","nyujjut"
"kembalian","sunsong"
"pergi entah kemana","paggi intah kemane"
"jawab","jawwab"
"waktu mundur","molor"
"bimbang","ribbe"
"jalan besar","jalan basar"
"memiliki nama yang sama","ammong"
"aja","ajak"
"menyamar","nyamar"
"lopat","lippat"
"bola","bahbal"
"tidak akan","indak lalu"
"menangkap ikan pakai tangan kosong","gammal"
"akui","akoek"
"aja","aja'"
"nangis sedih","ngakkal"
"panggilan untuk anak kedua (perempuan)","kakngah"
"sejenis masakan atau sambal yang tidak begitu pedas","bajak"
"cakap","lihai"
"ketombean","keriahan"
"burung","burong"
"ikat karung","kamput"
"hantu","jerada'"
"laju","laju"
"cambuk","cambok"
"asuh","asoh"
"sial","sial"
"temu","jumpe"
"mencabut","cabut"
"duduk di lantai","belampar"
"cantik / tampan","ceramut"
"berteburan","bongan"
"tidak jelas","kaddau"
"sendal","selepar"
"sholat","sholat"
"akar","akar"
"puji","anjong"
"tampan","ceramut"
"gerhane","grahne"
"ungu","kribbang"
"istri","mak biak"
"sawah","umme"
"gatal","gatal"
"mengintip","ngintip"
"sifat suka mengejek/menghina","peringak"
"tertegun","tecadding"
"perempuan","perumpan"
"ubin porselen","tehhel"
"becek","lecet"
"ngambang","ambang"
"tarik","jujjut"
"lari","becacak"
"tamparan keras","belampang"
"hal","hal"
"12345678910.0","satu, duak, tige, ampat, limak, annam, tujoh, lapan, sembilan, sepuloh"
"ulur","jolor"
"tidak","nda'"
"menjadi","njadi"
"pancingan","kael"
"pemindahan hak","hibbah"
"biduk","biddok"
"membiarkan","ngallehkan"
"cerita","kesah"
"mata","mate"
"walimahan","walimahan"
"bentar","bantar"
"memancing","ngael"
"kain","lunggi"
"bha","be"
"dan","dan"
"bejalan dengan goyah","layau"
"benci","bancik"
"nama pohon","dungngun"
"kolam","kolam"
"butuh","parlu"
"banyak","melonggok"
"lap lantai","peraccak"
"meninggalkan","ninggalkan"
"gelembung","kelambong"
"eceran","currai"
"kuat makan","bogoh"
"botak","langkas"
"topi","somo"
"test","test"
"kram","kebiawakkan"
"tanpa tutup kepala","begondol"
"mengamuk","ngamok"
"cabang","cabang"
"potong","igge'"
"akhlak","akhlak"
"beristri lebih darisatu","mado'"
"beberapa","beberape"
"tahap kemajuan perkembangan fisik pada bayi","beranggong"
"basah","laccah"
"singkap","babak"
"sikap","sikap"
"dijahit sementara","cantum"
"energi","energi"
"banyak orang","brasak"
"sejenis lipan","kalimanyar"
"kapur","kapor"
"sogol","iba"
"benar","ng'"
"memindahkan","aleh"
"kemana mana hilang arah","pitau"
"letup","lattup"
"kelingking","kelincing"
"cintanya","cintenye"
"menggaul","gaol"
"cowok","biak laki"
"ramah","jerampah"
"nyilu (tulang)","ngillo'"
"luwak","bogoh"
"menang","mannang"
"bengkak","bal bal"
"anting-anting","bonel"
"menggertak","ngaggap"
"memble","cabbi'"
"membanggakan orang","essai"
"tinggi","tinggi"
"lari","lari"
"ngomel","ngerepek"
"memungut buah yang jatuh","janto'"
"muka","muke"
"mengaduh","ngadoi"
"tergores","cebak"
"terlalu masak","lamme'"
"melarat","melarrat"
"cicak","cacak"
"gempar","gampar"
"daritadi","daritadek"
"tidak jadi","asa'"
"biasanya","biasenye"
"besok pagi","isok pagi"
"caping","capel"
"kata seru untuk menunjukkan kekaguman pada sesuatu yang banyak atau besar","bele ye"
"bosan","baus"
"bila tu","bille di"
"potensi","bakat"
"selesai","lakkak"
"menggesek","gesek"
"lembab","jappo'"
"singkong","bandong"
"kesal","esap"
"miskin","sontok"
"klik","klik"
"udah","udah"
"mengeras","ngarras"
"kulit sapi","belullang"
"berubah air muka","camma'"
"kasih","barek"
"hitung","reken"
"air","aek"
"cabe","cabe'"
"latah","latah"
"tidur ya","tidok i"
"menggunakan","pakai"
"bulu","bullu"
"dusun","dusun"
"chanel tv","siaran tv"
"gendong","ippak"
"lembu","lambu"
"kenapa","ngape"
"lagi apa","agek ape"
"lambung","lambong"
"kebiasaan","kannyat"
"cemas","cammas"
"julur","jolor"
"didatangi beramai-ramai","kerundong"
"manja","amba'an"
"yang itu","iye be"
"paman","pak tuaj"
"beku","bakko'"
"tegak","caggat"
"nyilu (tulang)","nyilok"
"balap","balap"
"jendela","pelenggokan"
"ukuran kecil","kattai"
"bersimpuh","besimpoh"
"semasa","gek"
"nekat","nekat"
"hujam","tujjah"
"setia","setie"
"menoleh","kalleh"
"js","js"
"kehendak hati","hasrat"
"singkatan pucuk","cok"
"mengganggu","ngacau"
"lengan","langan"
"ibu","ibu'"
"sendiri","sorang"
"biawak","biawak"
"keras dan tidak enak","karrau"
"guna-guna","gunne-gunne"
"menyanyam","kepang"
"tinggal","tinggal"
"alu","alo'"
"sepeda","gerete"
"kacang","kacang"
"bukan begitu","ndak ke"
"pengen","nak"
"kurus","kurus"
"panjang akal","akal"
"mencari pertautan hubungan keluarga","bejelujjor"
"sambal","sambal"
"rudhc","rudhc"
"mengeram","ngarram"
"tidah tahu","antah"
"masuk dengan mulus","bedallok"
"jenguk","jangngok"
"ngantuk","ngantok"
"permen","guyuman"
"melejit","laccut"
"berantem","betangkar"
"ibu","umak"
"mentah","manta'"
"lebai","labbai"
"dompet","dompet"
"tidak ada sama sekali","disse' lalu"
"tangan, kaki, atau jari yang menjadi pendek akibat cacat atau terpotong","kutong"
"akan","mao'"
"bau paling busuk","lassot"
"bari-bari","bari-bari"
"bergantian sama-sama","belalle'"
"memegang","migang"
"mengoyakkan","cabik"
"muka","mukke"
"rintik","rintik"
"damai","akor"
"berlari","becacak"
"nyenyak","nyannya'"
"ukuran terlalu besar","gelebor"
"perjaka","bujang"
"membesar karena tidak lagi elastis","lamber"
"tidak mau","koset"
"pelacur","moler"
"malu","kassang"
"pajak","cukkai"
"download","donlod"
"petir","panah lentar"
"sekarang","itok"
"mengeluarkan isi","buncai"
"a","a"
"luka atau koreng yang makin membesar","meluak"
"bahasa Indonesia","bahasa sambas"
"dada","dade"
"duana","duane"
"tikar terbuat dari rotan","bidai"
"tipis rata","leper"
"tanyabjawab","tanyak jawab"
"celana kolor","kato' kolor"
"lantai","lantai"
"hembat","ambat"
"kayu melintang pada dinding rumah","sente"
"cerdas","pintar"
"test","tarai"
"sifat","perangai"
"melihat secara diam-diam","nillik"
"masukkan keair","callup"
"alat untuk memotong tangkai padi","katam"
"gimana","gimane"
"jangkau","jangkau"
"getuk","kattok"
"mengisi","ngisse'"
"lembek","lammau"
"bersuami","belaki"
"mengunjungi","mantau"
"tersandar","tesende'"
"teriak","ngeraok"
"lewat batas","lampis"
"perang","parang"
"keluarga benar-benar seketurunan","antak-antak"
"getah","gatah"
"kumis","somet"
"juntai","juntai"
"hampir tenggelam","lampis"
"melakukan sesuatu yang tidak sesuai kemampuan","birawe"
"ompong","ronga'"
"sejenis ikan sungai","battok"
"rezeki","tuah"
"pesanan","pasannan"
"sekian","sekian"
"tidak","sabbol"
"miring dan monyong","birrong"
"untung banyak","congkoi"
"kokoh","taggap"
"rumpah panjang dayak","betang"
"lakban","lakban"
"robek","koyak"
"menyadap pohon karet untuk memperoleh getah","nangkal"
"besar kemauan","berawe"
"Asal-usul","asal"
"pertandingan gasing dilihat dari lamanya gasing berputar","berindu"
"alang kepalang","alang-alang"
"menggaet","ngaik"
"terciduk","teciduk"
"banci","bencong"
"celana dalam wanita","kato' sampak"
"asal","asal"
"tidak lurus","berot"
"pantang menolak tawaran","kemponan"
"kecebobg","murek"
"ramai","bejibun"
"hindar","ela'"
"batal","kaba'"
"tidak usah","sodah"
"susah","susah"
"bugil","bogel"
"benda","bande"
"bodoh","babbang"
"1 ribu","seribu"
"melalui","melaluek"
"rasa asam","masam"
"sekarang kamu","itok kau"
"pergi","hincit"
"sangat lelah","bungol"
"bolong","passok"
"bersenggolan kuat","berampok"
"tikar","belungkur"
"jauh sama","jaoh dengan"
"paksakan diri","kuatte'"
"keriput","ngerenyot"
"pakaian dalam bayu","baddong"
"dahan","cabang"
"ubin","tehhel"
"hantu kambing","antu kambe'"
"jijik","gatik"
"memberi makan hantu","ancak"
"hilang","lanyap"
"anak-anak","biak"
"busuk","burrok"
"sadar","melade"
"capung","ncibbi'"
"jorok","cerobok"
"serta","serte"
"lobang","lubang"
"kancil","kancel"
"meras","maras"
"kokoh","kukkoh"
"zaman dahulu","gekmarek"
"sepeda motor","motor pit"
"mancing","ngael"
"berkumpul","ngerumun"
"sangat panas","ganding"
"bulan lalu","bulan lalu"
"terlanjur","telanjor"
"tv","tv"
"cari","carek"
"terdandung kaki sendiri","tekahel"
"bukan main","nammekan"
"mahkota","mahkote"
"ringkasan","ihtiar"
"sombong","kerewak"
"berlobang","cabbok"
"sungguh","sungguh"
"kemasakan","muddoh"
"jarrik","kejarrik"
"diikat kencang","kamput"
"tergeletak","ledak"
"embrio nyamuk","ngkattek"
"main-main","maing-maing"
"berkeliling","keledar"
"semacam","bangse"
"hancur","ancor"
"untaian","jumbai"
"nama buah","gerinjan"
"canting","kaleng"
"main curang","bangsat"
"hilang","illang"
"leluhur","nongan"
"menutup dengan kain","kumbok"
"mengumpulkan bekas makanan","ngguti'"
"asli","asli"
"sejenis kelinci","marmut"
"sape","siapa"
"azimat","jimmat"
"menghisap permen","guyyum"
"kebun","kabbon"
"sejenis makanan yang sering dijajakan","bongko"
"kemampuan tidak seimbang dengan keinginan","kamo'"
"campor","baor"
"raut muka kecewa","tebirong"
"sebutan bodoh","bodol"
"kampong","kampung"
"monyong","tebirong"
"keraton sambas","keraton sambas"
"teriak","keraok"
"kegiatan yg bisa dilakukan apabila mencari barang yg mungkin terjatuh di bawah meja atau di bagian bawah lain nya.","nyusok"
"beli","balli"
"jambu amerika","merekan"
"ukur","takar"
"berdiri","bediri"
"brewok","rongos"
"gingsul","tukak"
"jendela","pennyawan"
"mondal mandir","kenining"
"gores","coreng"
"j","j"
"penari tradisional","ma iyong"
"duit","duit"
"sempat","sempat"
"hama tanaman","mpangau"
"tidak bisa diam","lisse"
"buah","buah"
"elastis","nyunyut"
"bingung","kalut"
"potong halus-halus","cancang"
"bilas","billas"
"bergantian","balallek"
"kelilipan","kelimpanan"
"memberi peringatan","awas"
"genggam","ganggam"
"lembar","lambar"
"seperti","bagai"
"sadis","sadis"
"kelihatan","nampak"
"kerak","karrak"
"tengah hari","luhhor"
"hello","halo"
"sesuatu yang disampaikan","ngantar pinang"
"laksa","lakse"
"menukar","nukarre'"
"kayu penyangga atap","jannang"
"menghentak","antak"
"hakim","hakim"
"gay","rodong"
"sinting","paning"
"cepat","laccut"
"selimut","awek"
"sisa","keraddak"
"cembung","cambong"
"aneh aneh","endah-endah"
"makan lalap","ngullam"
"ngeri","ngarre'"
"ujung sesuatu bergerak tapi pangkal tetap di tempat","kelek-kelek"
"mobile","mobile"
"keranjang besar","baka'"
"membersikah gigi","ningnga'"
"aba-aba","aba-aba"
"gendut","gammok"
"ubi keledek","temillek"
"pendek","pendek"
"sate","sate'"
"awalan","be"
"ibu","ummak"
"pergi","paggi"
"sok tahu","sok tau"
"batas ruas","bukko'"
"test","tarai"
"ti","kejarrik-kejarrik"
"pergi keladang","kume"
"memamerkan","edeh"
"mabuk","mabok"
"udara","angin"
"kalian","kittak"
"pusing","panning"
"bentang","lampar"
"kegatalan","kegatalan"
"berhenti","taem"
"jaket","jaket"
"bahasan","bahasan"
"ayunan","uwak'an"
"ayam jago","ayam jogok"
"pemotong kepala","peneget"
"sebuah isitilah yang biasanya digunakan untuk memberi tahukan kondisi barang sudah tidak layak pakai","pakke"
"basah","basa'"
"hari ini","ari ito'"
"mencari pacar","ngepek"
"nama makanan tradisional terbuat dari sagu","ingol-ingol"
"hisap","insap"
"kertas","kerattas"
"memperhatikan","meratikan"
"tilam","sedunni"
"halal","halal"
"berceceran (cair)","belaceran"
"permainan tebak-tebakan","singgarapan"
"kesana kemari","siau layau"
"almarhumah","jannat"
"bengkok","bengkok"
"istriku","biniku"
"busur","damak"
"jumlah","jumlah"
"bertumpuk","belonggo'"
"kesehatan","kesehatan"
"koreng yang tidak sembuh-sembuh","bageng"
"tak peduli","daan peduli"
"teko","ceret"
"serem","sarram"
"talenan","kude-kude"
"kemaluan pria","paler"
"habis tanpa sisa","lingis"
"celah","callah"
"mendengung","bedangngung"
"bersama-sama","besame_same"
"bekantan","kelaek"
"rambai","ullap"
"bagi","bagi"
"keluarga","nsanak"
"ganjen","birah"
"panjang waktunya","lama'"
"biru","birru"
"genap","gannap"
"pondok","dangau"
"desa","dese"
"nampan dari bahan plastik, rotan dll yang berlengan seperti ember tetapi berlubang-lubang biasa digunakan untuk memanen atau membawa buah-buahan","allam"
"usil","pengajal"
"gelombang","gelumbang"
"suara keras","nyaring"
"sendok","suddo'"
"bajingan","kurang ajar"
"ntahlah","ntahlah"
"ah","ah"
"luka memar","mattu darah"
"koyak","sirah"
"mau tertawa ditahan-tahan tapi tersenyum-senyum","tekidum"
"garuk","garo'"
"nyeker","lappa' ayam"
"sambut","sambut"
"sejenis obat","tae' angin"
"tinggi sekali","tinggi inyan"
"benturan","hampok"
"bening","banning"
"haji","ajji"
"mudah lupa","lupa' lape'"
"kebelet","kedadasan"
"ludah","luddah"
"ternganga","nganga'"
"tertawa terbahak","ngakak"
"lambat","entet-entet"
"uray","uray"
"sulit diharapkan","babo'"
"itu","iyye"
"bunuh","bunoh"
"padi","padi"
"satu untuk dua atau lebih","kenen"
"jatuh","tibuang"
"lekat","lakkat"
"memikir sesuatu","merekke"
"malas","malas"
"pulang","balik"
"nafas","napas"
"makning","bibi"
"ingin","mao'"
"wadah","tampat"
"ingin","carrat"
"alih","aleh"
"buruan","yo capat lah"
"gejala demam","meriang"
"menikah","nikah'"
"bekas gigitan","cangkit"
"bernafas pendek dan mudah lelah","angas"
"hantu mata sapi","butte"
"memantul","janjan"
"fokus","fokus"
"meledak","mattu"
"tolol","bangak"
"sampah","uras"
"serangga","semadak"
"sisa","bakas"
"nilai","ponten"
"kenapa","jope"
"gigil","ngelaggasan"
"tebal","tabbal"
"kenapa","ngape be"
"nyesal","nyassal"
"celaka akan didapat kerena tidak mencicipi sesuatu (makanan) yang diinginkan","kemponan"
"mulus","lanynyi'"
"sea","sea"
"kata-kata kotor","carrut"
"lebay","lebay"
"gambus","gambus"
"pemimpim","pemimpin"
"gemuk","boncek"
"berlubang","bopeng"
"jendela","jendele"
"tidak perlu repot","dak jarreh"
"terpesona","tepesona"
"menjadi-jadi","sulle"
"tidak ikhlas","ribbe"
"begini","gaito'"
"tertawa terbahak-bahak","ngakkal"
"belacu","belacu"
"tempo dulu","ge' mare'"
"berkehendak melakukan sesuatu","hajat"
"jomblo","sian becewek"
"mual","mual"
"cepat","cappat"
"buaya","jallu"
"rasa","rase"
"mulas","mulas"
"cukur","cukor"
"rata","rate"
"menghampiri","pajoh"
"tuli","kocak"
"marah marah","marah marah"
"malak","nakek"
"tujuan","tuju"
"mamak","umalk"
"menututupi diri dengan kain","bekumbok"
"buru-buru ingin buang air kecil","kedaddassan"
"terimakasih","makaseh"
"lumur","lummor"
"beri","barek"
"kakek","nek aki"
"memasak","bemasak"
"kambing berbulu panjang","kibas"
"hikmah","hikmah"
"nama makanan tradisional","gulle gantar"
"berderai","tiburai"
"kucel","kotor"
"sejenis bambu","aor"
"gitu gitu","geye geye"
"mengasah","ngansah"
"musuh","musoh"
"saat ini","kinnito'"
"terjatuh","telincer"
"paman","pak tuak"
"tugas","tugas"
"hayalan","hayalan"
"nama penyakit kulit sejenis lepra","badam"
"sebutan untuk benda tajam","billah"
"penat","panat"
"rasa makanan yang disimpan terlalu lama atau tengik","bangar"
"masya allah","bayya'-bayya'"
"kita","kite"
"leo","leo"
"kunci pintu atau jendela","sondok"
"melambaikan bendera","gabbut"
"harusnya","kanda'ang"
"empat","ampat"
"wabah","awar"
"kaleng berbentuk bundar","canting"
"baik-baik","gannah"
"ruang","balai"
"mengeriput","ngerisut"
"coreng moreng","coreng"
"jala","jale"
"licik","bangsat"
"tidak ada","sean"
"join","gabong"
"gigi yang tumbuh tidak sederet dengan gigi lainnya","tukak"
"permisi","permisi"
"kotoran telinga","tek tulek"
"kaku","kakok"
"membuka paksa","missak"
"kawat","kawat"
"tenggelam dalam kubangan atau lumpur","matak"
"lanjit","centil"
"rangkul","dako'"
"alat pemutar","kisaran"
"mengerjakan semua","ngarau"
"google","google"
"bandrol","bandrol"
"paham","paham"
"surakarta","debegan"
"setelah","lakka'"
"nama daun","kassum"
"penculik yang memotong leher korbannya untuk sesajen","peneget"
"sebelum","sebalom"
"cantik","cantek"
"putih","kappoh"
"indah","indah"
"mendirikan","nirikan"
"bagian yang sengaja dibuat menonjol dari keseluruhan lantai","bandol"
"tumpul","tumpol"
"amprah","permintaan"
"kebohongan","bullak"
"tikam","tikam"
"nama burung","kallak"
"dubur","jubbor"
"anak nakal","biak soso"
"centang","centang"
"suban","siban"
"engkau","kau"
"cowok","batang"
"masya allah","bayya'"
"juga","juak"
"dari","dari"
"saraf","urat"
"tidak sadar","illang ladde"
"tidak","daan"
"iya pasti di jaga","aok pasti di jage"
"sepupu","petungalan"
"jarrik","kejarrik"
"ejek","olok"
"dongkel","cungkit"
"ngawue","antu bale"
"tuduh","tudoh"
"hirau","irraw"
"licin","liccing"
"cepat habis","lassat"
"begitu","giye"
"puas","puas"
"remang-remang","kaddau"
"terlalu cantik","cantek gilak"
"rakyat","rakyat"
"menghayal","mereke"
"nyamuk","nyamok"
"cubit","kubbik"
"kulit terbakar sinar matahari","salla'"
"mengubah","ngubah"
"langsing","langsing"
"bibi","mak tua'"
"hidup kembali","bangkit"
"memelihara binatang","ingau"
"sanak saudara","insanak"
"awas kamu harus bertanggung jawab","jagge-jagge"
"hubungan seksual","kentot"
"menggelantung","kelek-kelek"
"pelir","paler"
"bercokol","bicokol"
"tes","tes"
"menenun","nannun"
"ketakuan","sawan"
"senggol","nyenggol"
"membawakan","mawakkan"
"mata kena sinar terang","jillau"
"suka menangis","penanak"
"jerih","jareh"
"disana","disinun"
"memancing ikan dengan cara pancing ditinggalkan","najor"
"pas-pasan","simakai"
"kulum","lullum"
"gulung","gullong"
"kue bolu","bahulu"
"udahla","udahlah"
"kemaren","simari"
"tidak sama sekali","nkoset"
"getah","gattah"
"gelap","gallap"
"pengemis","pengamis"
"panggilan untuk ayah","ance'"
"empedal","badal"
"pembohong","pembulak"
"hambar","masse'"
"gigi tumbuh bertimpa","tukkak"
"wadah","wadah"
"belum disunat","kullup"
"labu","peranggi"
"putar","kissar"
"bolak-balik","kilek-kulu"
"mulai marah","ngangat"
"kenapa sekarang jaman sulit yah","ngape kinitok jaman susah i"
"jam","jam"
"ikan lele","ikan kale'"
"sejenis bambu kecil","aor sallat"
"pukimak","kimak"
"sendawa","raggak"
"nantin","nantin"
"bahaya","balla"
"bangun kesiangan","mbunto'"
"hanya","hanye"
"garpu","garpu"
"mengaku","ngako'"
"corak","currak"
"tegak lurus","cagat"
"sumpah","sumpah"
"pakaian resmi wanita","kebaye"
"bodoh","bodo"
"pas","simakai"
"meja","meje"
"alur","alor"
"suka jalan jalan","ngrayau"
"kayuh cepat","mbarrut"
"aneh","endah"
"buncit","boncek"
"pasir","paser"
"gigi tumbuh bertimpa","tukkak"
"diteriaki","keraokke'"
"ceret","ketel"
"sendirian","senyorang"
"hajatan","hajatan"
"melilit","muntal"
"menghayal","merajab"
"sekarang kau","kinitok kau"
"ambil","ambek"
"menghayau","ayau"
"gila","bababg"
"ganteng","kaca'"
"orang yang mengadili perkara","hakim"
"melobi","ngaloi"
"basah","jappok"
"sundal","sundal"
"kunang kunang","impapat"
"langkah","langkah"
"menutup dengan kain","kumbo'"
"kanji","kanji"
"pepaya","batek"
"lengan tak bias diluruskan","engkong"
"kejanggalan","janggal"
"kucel","bakko'"
"sumbing","bisang"
"aku ingin makan lauk ayam","aku nak makan laok ayam"
"masuk","masok"
"dandan","massen"
"lanjut","lanjut"
"bambu","aor"
"tidak pas","bisingka'"
"goyang","goyang"
"ngangkang","kangkang"
"ungkapan bodoh","tuyak"
"dijadikan istri kedua","mado'"
"belajar","belajar"
"benak","bannak"
"degil suka menggannggu","jajjal"
"makanan bayi","koleh"
"selamat siang","selamat siang"
"pemarah","pemanas"
"mengambil dan mengumpulkan cairan karet  kedalam ember","ngullok"
"kena","kanna'"
"darah tinggi","angin ehmar"
"mendengar","nangar"
"orang","urang"
"lebih","labbeh"
"sifat kegila-gilaan","antu bale"
"kantor desa","balai desa"
"mengejar layang-layang","kontet"
"pengajar","pengajar"
"karena","karne"
"meriam dari bambu","laggum"
"sengaja","sengaje"
"emosi","ngangat"
"kerak nasi","karrak nase'"
"kue tradisional","doko'-doko'"
"rambutan yang isinya muda dipisah dengan bijinya","rambutan kelotok"
"serangga","kerangge"
"kurang waras","babang"
"jemur","jammor"
"terserah","kak ati"
"pergi tanpa tujuan yang jelas","ngerayau"
"jamban keluarga diatas sungai","gambangan"
"mudik","muddik"
"sana","sinun"
"saat","saat"
"gaya","gaya"
"iya","iye"
"makan dengan rakus","meradak"
"melarang","nagahkan"
"nama pisang","kappo'"
"caranya","carenye"
"buntung","buntong"
"tumbuhan air","kiambang"
"melamun","conom"
"cecak","caccak"
"dibohongi","dibulaek"
"indahnya bulan tak seindah wajahmu","budak"
"secara","secare"
"bau sangat tidak enak","bau badam"
"rumput alang-alang","alang-alang"
"terkenang","tekanang"
"handpohe","empon"
"dah","dah"
"nangka","nangka'"
"menurutku","jikku"
"keping","kapping"
"terbalik","tongkeng"
"memangnya","ao' be"
"bunga","bunge"
"ceroboh","cerobok"
"kemana-mana tak tentu arah","siaw layau"
"nyengir","ngelansing"
"mataku perih","mateku paddeh"
"emping","bago'"
"biru","biru"
"masih kuat","gancang"
"ngomel","ngerepek"
"terserah","ka'ati"
"panggilan kepada seorang anggota keluarga yang kelahirannya setelah kelahiran sibungsu","alang"
"susu","susu"
"buih","bueh"
"dahulu","dolo'k"
"oke deh","aoklah"
"merawat anak kecil","ngansoh"
"selesai","beres"
"lewat","limpas"
"hampar","ampar"
"menjajakan","jaje"
"kebetulan","namune'"
"benang layang-layang","gallasan"
"walaupun","biarpun"
"hirup","irup"
"cantik dan mungil","ciramut"
"bangkit","bangkit"
"we","we"
"berhamburan","terburai"
"tengah hari","tangah ari"
"induk","indo'"
"menutup seluruh badan","bekumbo'"
"duduk wanik","duddok pippe'"
"ngalayap","intayap"
"murah","murah"
"lah","lah"
"berpasangan","bepasangan"
"diolok","kanak olok"
"pelit","lokek"
"gelas","cawan"
"amis","ampis"
"kerdil","ketet"
"kalah sebelum bertanding","bacul"
"belalang","balang"
"akibatnya","rappokkannye"
"sejenis tombak","canggah"
"bodo","bodo"
"shakil","shakil"
"pagi","pagi"
"gali","gale'"
"denyut nadi","me'"
"bujang tua","gawak"
"diejek","kanak olok"
"tegursapa","ai"
"ngisi","ngise'"
"menebak","nujjum"
"sepanjang","sepanjang"
"kurang terang","kaddau"
"mainan","maingan"
"guna","gunne"
"laci","surongan"
"diberi","kanak barek"
"cerai","carrai"
"makna","ma'ne"
"rambut tipis","langngar"
"menjulur","jolor"
"anak keempat","unning"
"kodok","katak"
"terlupakan","kanak lupakkan"
"jendela","pelenggokan"
"eror","rusak"
"pukimak (umpatan kasar)","kemak"
"menutup","ngatup"
"kelereng","guli"
"ad","ad"
"keluarga baru dari perkawinan","birras"
"gulai","gulai"
"pundak","bau"
"ceret","ketel"
"amis","amis"
"ngamuk","ngamok"
"makan bersama khalayak ramai","beratah"
"bergoyang","begoyang"
"mengakui","ngakok"
"pada waktu dahulu","gek dolok"
"upaya dalam menelusuri silsilah keluarga","bejereh"
"tidak biasanya","janggal"
"sejenis alas","lapik"
"daging","daging"
"bawel","cerewet"
"gemuk dan lamban","gallo'"
"singkap","babak"
"perasaan terbebani","ngadohek"
"mertua","mertue"
"pantat yang besar","tongge'"
"terlalu cantik","kecantek'an"
"kaos","baju"
"sejenis burung disemak","kruwak"
"musim","mussem"
"pelit","loke'"
"emas","ammas"
"mengunyah","ngampa'"
